month_year,MBR_goal
1/1/2014, 9.87 
2/1/2014, 8.90 
3/1/2014, 7.92 
4/1/2014, 6.55 
5/1/2014, 7.81 
6/1/2014, 10.33 
7/1/2014, 9.46 
8/1/2014, 10.75 
9/1/2014, 6.95 
10/1/2014, 7.84 
11/1/2014, 9.01 
12/1/2014, 14.40 
1/1/2015, 16.95 
2/1/2015, 13.14 
3/1/2015, 11.53 
4/1/2015, 11.03 
5/1/2015, 13.60 
6/1/2015, 12.26 
7/1/2015, 10.47 
8/1/2015, 10.71 
9/1/2015, 7.01 
10/1/2015, 7.93 
11/1/2015, 8.40 
12/1/2015, 12.26 
1/1/2016, 9.95 
2/1/2016, 6.34 
3/1/2016, 8.32 
4/1/2016, 7.67 
5/1/2016, 7.95 
6/1/2016, 11.42 
7/1/2016, 10.77 
8/1/2016, 12.53 
9/1/2016, 7.07 
10/1/2016, 5.93 
11/1/2016, 6.29 
12/1/2016, 10.67 
1/1/2017, 12.40 
2/1/2017, 6.19 
3/1/2017, 6.46 
4/1/2017, 7.60 
5/1/2017, 5.82 
6/1/2017, 8.87 
7/1/2017, 8.47 
8/1/2017, 8.65 
9/1/2017, 5.62 
10/1/2017, 5.55 
11/1/2017, 6.29 
12/1/2017, 10.67 
1/1/2018, 9.43 
2/1/2018, 6.49 
3/1/2018, 6.45 
4/1/2018, 6.26 
5/1/2018, 6.63 
6/1/2018, 8.09 
7/1/2018, 7.53 
8/1/2018, 8.08 
9/1/2018, 4.86 
10/1/2018, 4.96 
11/1/2018, 5.49 
12/1/2018, 9.03 
